"","code","year","location","Age","sex","mass","faavg","bci","site","date","time","day","month","mult","count"
"23","000675B0F8","2014","St.George","A","M",11.8,38.53333333,0.306228374,"SG",2014-09-06,"22:03:50",249,"Sep","multiple",1
"24","000675B1C2","2012","St.George","J","F",8.25,38.70333333,0.213159935,NA,NA,NA,NA,NA,NA,NA
"25","000675B3A0","2009","Firecamp",NA,"M",8.2,40.18,0.204081633,NA,NA,NA,NA,NA,NA,NA
"26","000675B3A0","2011","Firecamp","A","M",9.04,40.22333333,0.224745173,NA,NA,NA,NA,NA,NA,NA
"27","000675B3A0","2014","Firecamp","A","M",9.4,40.5,0.232098765,NA,NA,NA,NA,NA,NA,NA
"28","000675B4B8","2009","Abyss",NA,"M",8.2,39.67,0.206705319,NA,NA,NA,NA,NA,NA,NA
"29","000675B5A0","2011","Nutimik.Lake-Mitch.Diane's","A","F",8.5,36.38,0.23364486,NA,NA,NA,NA,NA,NA,NA
"30","000675B5ED","2011","Firecamp","J","M",8.96,39.235,0.228367529,NA,NA,NA,NA,NA,NA,NA
"31","000675B763","2012","St.George","A","M",8.12,38.19666667,0.212583995,NA,NA,NA,NA,NA,NA,NA
"32","000675BA81","2009","Abyss",NA,"M",7.9,38.18,0.206914615,NA,NA,NA,NA,NA,NA,NA
"33","000675BE67","2011","St.George","A","F",12.52,39.025,0.320819987,"SG",2011-09-05,"3:50:25",248,"Sep",NA,1
"34","000675BEF1","2017","Richard.Lake","A","M",13.4,37.96666667,0.352941176,NA,NA,NA,NA,NA,NA,NA
"35","000675BFD1","2011","Richard.Lake","A","M",9.35,38.31,0.244061603,"RL",2011-09-12,"4:26:46",255,"Sep","multiple",26
"36","000675BFD1","2011","Richard.Lake","A","M",9.35,38.31,0.244061603,"RL",2011-09-11,"4:51:09",254,"Sep","multiple",7
"37","000675BFD1","2011","Richard.Lake","A","M",9.35,38.31,0.244061603,"RL",2011-09-13,"21:51:02",256,"Sep","multiple",2
"38","000675BFD1","2011","Richard.Lake","A","M",9.35,38.31,0.244061603,"RL",2011-09-16,"22:03:20",259,"Sep","multiple",37
"39","000675BFD1","2011","Richard.Lake","A","M",9.35,38.31,0.244061603,"RL",2011-09-15,"21:52:36",258,"Sep","multiple",16
"40","000675BFD1","2011","Richard.Lake","A","M",9.35,38.31,0.244061603,"RL",2011-09-14,"1:12:09",257,"Sep","multiple",5
"41","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-24,"4:44:46",267,"Sep","multiple",36
"42","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-10,"22:14:51",253,"Sep","multiple",35
"43","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-13,"22:57:03",256,"Sep","multiple",33
"44","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-12,"22:43:40",255,"Sep","multiple",32
"45","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-15,"23:28:02",258,"Sep","multiple",29
"46","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-11,"1:26:39",254,"Sep","multiple",27
"47","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-23,"22:49:34",266,"Sep","multiple",17
"48","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-16,"0:59:51",259,"Sep","multiple",15
"49","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-21,"22:33:21",264,"Sep","multiple",14
"50","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-14,"2:59:47",257,"Sep","multiple",12
"51","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-08,"22:34:51",251,"Sep","multiple",9
"52","000675BFD1","2014",NA,NA,NA,NA,NA,NA,"RL",2014-09-09,"3:31:37",252,"Sep","multiple",6
"53","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-07,"22:53:22",250,"Sep","multiple",31
"54","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-03,"22:47:47",246,"Sep","multiple",28
"55","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-08,"1:23:56",251,"Sep","multiple",24
"56","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-04,"3:18:54",247,"Sep","multiple",22
"57","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-08-30,"0:06:57",242,"Aug","multiple",21
"58","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-09,"3:15:58",252,"Sep","multiple",18
"59","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-01,"3:46:49",244,"Sep","multiple",13
"60","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-08-31,"22:59:41",243,"Aug","multiple",11
"61","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-06,"22:10:19",249,"Sep","multiple",8
"62","000675BFD1","2015",NA,NA,NA,NA,NA,NA,"RLB",2015-09-02,"4:28:09",245,"Sep","multiple",3
"63","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLB",2016-09-03,"3:00:02",247,"Sep","multiple",34
"64","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLB",2016-09-05,"22:11:54",249,"Sep","multiple",30
"65","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLB",2016-09-01,"1:44:52",245,"Sep","multiple",25
"66","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLB",2016-09-02,"22:12:46",246,"Sep","multiple",23
"67","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLB",2016-09-04,"3:32:42",248,"Sep","multiple",20
"68","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLT",2016-09-06,"2:22:12",250,"Sep","multiple",19
"69","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLT",2016-09-08,"0:38:29",252,"Sep","multiple",10
"70","000675BFD1","2016",NA,NA,NA,NA,NA,NA,"RLB",2016-08-31,"23:35:18",244,"Aug","multiple",4
"71","000675BFD1","2017",NA,NA,NA,NA,NA,NA,"RLB",2017-08-30,"22:18:37",242,"Aug","multiple",1
"72","000675C7EC","2011","Abyss","A","F",9.55,40.175,0.237710019,NA,NA,NA,NA,NA,NA,NA
"73","00067CDA6B","2013","St.George","A","M",10.2,38.3,0.266318538,NA,NA,NA,NA,NA,NA,NA
"74","00067CDAB2","2013","St.George","A","M",13.3,38.4,0.346354167,NA,NA,NA,NA,NA,NA,NA
"75","00067CDAB2","2013","St.George","A","M",13.1,38.5,0.34025974,NA,NA,NA,NA,NA,NA,NA
"76","00067CDAB2","2014",NA,NA,NA,NA,NA,NA,"SG",2014-09-27,"20:40:15",270,"Sep",NA,1
"77","00067CDAF9","2017","Richard.Lake","J","F",9.7,38.43333333,0.252385082,NA,NA,NA,NA,NA,NA,NA
"78","00067CDB44","2013","St.George","A","F",9.3,38.83333333,0.239484979,"SG",2013-09-19,"21:20:16",262,"Sep","multiple",2
"79","00067CDB44","2014",NA,NA,NA,NA,NA,NA,"SG",2014-09-18,"23:12:58",261,"Sep","multiple",1
"80","00067CDD18","2014","St.George","A","F",9.4,37.68333333,0.249447147,NA,NA,NA,NA,NA,NA,NA
"81","00067CDDE4","2015","Kenora-Sandy.Lake.Sala","A","F",9.3,37.67333333,NA,NA,NA,NA,NA,NA,NA,NA
"82","00067CE165","2013","St.George","J","F",8.1,37.2,0.217741935,NA,NA,NA,NA,NA,NA,NA
"83","00067CE615","2014","St.George","A","M",9.3,39.2,0.237244898,"SG",2014-09-06,"23:58:46",249,"Sep",NA,1
"84","00067CE870","2013","St.George","J","M",7.7,38.7,0.198966408,NA,NA,NA,NA,NA,NA,NA
"85","00067CEE9C","2014","St.George","A","F",8.5,38.3,0.221932115,NA,NA,NA,NA,NA,NA,NA
