"ch" "GR" "weight" "FA" "BCI" "sex" "ageclass"
"0010000" "MA" 9.8 39.15 0.250319285 "M" "A"
"0010000" "FA" 10.4 38.06666667 0.273204904 "F" "A"
"0010000" "FJ" 8.4 37.48 0.22411953 "F" "J"
"0011100" "MA" 10.3 40.26333333 0.255815879 "M" "A"
"0010000" "MA" 11.1 38.46666667 0.288561525 "M" "A"
"0010000" "FJ" 9.7 37.4 0.259358289 "F" "J"
"0010000" "FA" 9.3 38.89666667 0.239095038 "F" "A"
"0010000" "MJ" 8.9 39.43 0.22571646 "M" "J"
"0011110" "MA" 9.35 36.3 0.2592706555 "M" "A"
"0010000" "FJ" 9.2 37.53666667 0.245093686 "F" "J"
"0010000" "MA" 11.4 39.1 0.291560102 "M" "A"
"0010000" "MA" 10.1 38.64 0.261387164 "M" "A"
"0010000" "FA" 11.4 39.90666667 0.285666555 "F" "A"
"0010000" "FJ" 9.4 35.53333333 0.264540338 "F" "J"
"0010110" "MA" 9.7 39.11666667 0.24797614 "M" "A"
"0010000" "FJ" 9.6 35.36666667 0.271442036 "F" "J"
"0010000" "MJ" 8.8 39.06666667 0.225255973 "M" "J"
"0010000" "FA" 8.5 39.22333333 0.216707742 "F" "A"
"0010000" "MA" 9.5 37.07666667 0.256225838 "M" "A"
"0010000" "FA" 9 39.14666667 0.229904632 "F" "A"
"0010000" "FA" 10 40.43 0.247341083 "F" "A"
"0010000" "MA" 10.8 38.94666667 0.277302294 "M" "A"
"0010000" "FA" 9.1 39.15 0.232439336 "F" "A"
"0010000" "FJ" 9.2 38.81666667 0.237011593 "F" "J"
"0010000" "MJ" 8.1 38.48 0.21049896 "M" "J"
"0010000" "FA" 7.3 37.5 0.194666667 "F" "A"
"0010000" "FJ" 8.3 37.36666667 0.222123104 "F" "J"
"0010000" "MA" 8.6 39.23333333 0.219201359 "M" "A"
"0010000" "MA" 8.9 36.96666667 0.240757439 "M" "A"
"0010000" "MA" 9.1 37.06666667 0.245503597 "M" "A"
"0010000" "FA" 8.6 36.26666667 0.237132353 "F" "A"
"0010000" "FA" 8.4 38.76666667 0.216680997 "F" "A"
"0010000" "MA" 7.7 39.23333333 0.196261682 "M" "A"
"0010000" "MA" 9.7 35 0.277142857 "M" "A"
"0010000" "FA" 9.2 37.43333333 0.245770258 "F" "A"
"0010000" "FA" 10 38.4 0.260416667 "F" "A"
"0010000" "FJ" 10.2 38.1 0.267716535 "F" "J"
"0010000" "FA" 8.9 38.53333333 0.230968858 "F" "A"
"0010100" "FA" 10 38.86666667 0.25728988 "F" "A"
"0011000" "FA" 9.1 38.7 0.234988148 "F" "A"
"0010000" "FA" 10.4 38.96666667 0.266894782 "F" "A"
"0010000" "MA" 9.9 37.93333333 0.260984183 "M" "A"
"0010000" "MA" 10.1 36.9 0.273712737 "M" "A"
"0010000" "MJ" 11.4 38.9 0.293059126 "M" "J"
"0010000" "MA" 12.2 37.93333333 0.321616872 "M" "A"
"0010000" "MA" 9.6 39.3 0.244274809 "M" "A"
"0010000" "MJ" 7 33.5 0.208955224 "M" "J"
"0010000" "MJ" 9.4 38.6 0.243523316 "M" "J"
"0010000" "FJ" 9.3 38.80666667 0.239649545 "F" "J"
"0010000" "MA" 9.8 39.53333333 0.247892074 "M" "A"
"0010000" "FJ" 9.1 35.5 0.256338028 "F" "J"
"0010000" "MA" 10.4 38.13333333 0.272727273 "M" "A"
"0010000" "MA" 7.6 37.2 0.204301075 "M" "A"
"0010000" "MJ" 7.9 35.28333333 0.223901748 "M" "J"
"0010000" "FA" 9.6 38.83333333 0.2472103 "F" "A"
"0111100" "MA" 7.93 38.21 0.207537294 "M" "A"
"0010000" "MJ" 8.8 37.65 0.23373174 "M" "J"
"0011110" "MA" 7.8 36.89666667 0.211401211 "M" "A"
"0010000" "MA" 8.7 38.7 0.224806202 "M" "A"
"0001110" "MA" 7.7 38.96666667 0.19760479 "M" "A"
"0001000" "MA" 8.5 40.6 0.209359606 "M" "A"
"0001100" "MA" 8.6 39.83333333 0.215899582 "M" "A"
"0001000" "MA" 8.2 40.66666667 0.201639344 "M" "A"
"0001100" "MA" 8.8 37.63333333 0.233835252 "M" "A"
"0001000" "MA" 8.2 37.83333333 0.216740088 "M" "A"
"0001000" "MA" 8.8 37.9 0.232189974 "M" "A"
"0001000" "MA" 7.5 37.86666667 0.19806338 "M" "A"
"0001110" "MA" 8.7 37.33333333 0.233035714 "M" "A"
"0001000" "FA" 8.5 36.6 0.232240437 "F" "A"
"0010000" "MA" 9.7 37.93333333 0.255711775 "M" "A"
"0010000" "FJ" 9.5 38.88 0.244341564 "F" "J"
"0010000" "MA" 7.7 38.58333333 0.199568035 "M" "A"
"0010000" "MA" 9.3 36.75 0.253061224 "M" "A"
"0010000" "FA" 9 37.03333333 0.243024302 "F" "A"
"0011000" "MA" 8.1 39.19666667 0.206650225 "M" "A"
"0010000" "FA" 9.5 38.4 0.247395833 "F" "A"
"0010000" "MJ" 9.1 38.46666667 0.236568458 "M" "J"
"0010000" "FA" 8.1 36.23333333 0.223551058 "F" "A"
"0010000" "MA" 8.1 38.26666667 0.211672474 "M" "A"
"0010000" "FA" 10.6 38.58666667 0.274706289 "F" "A"
"0010000" "FA" 8.9 40.86666667 0.217781403 "F" "A"
"0010000" "MJ" 7.8 37.46666667 0.208185053 "M" "J"
"0011000" "FA" 11.8 38.885 0.3034953595 "F" "A"
"0010000" "FA" 10 38.08333333 0.262582057 "F" "A"
"0010000" "FA" 7.5 39.21333333 0.191261476 "F" "A"
"0010000" "MA" 8.1 39.75 0.203773585 "M" "A"
"0010000" "FJ" 8.3 38.7 0.214470284 "F" "J"
"0010110" "MA" 8.3 37.76333333 0.21978992 "M" "A"
"0010000" "FA" 9.4 39.1 0.240409207 "F" "A"
"0010000" "MA" 8.6 39.42 0.218163369 "M" "A"
"0011100" "FA" 8.3 37.08 0.223840345 "F" "A"
"0011000" "MA" 9.6 37.441666665 0.256524634 "M" "A"
"0011100" "FA" 7.7 39.01666667 0.197351559 "F" "A"
"0011100" "MA" 9.8 37.03333333 0.264626463 "M" "A"
"0011100" "FA" 11.1 40.11 0.276738968 "F" "A"
"0011000" "MA" 13.4 38.16666667 0.351091703 "M" "A"
"0010000" "MA" 7.9 39.13333333 0.201873935 "M" "A"
"0010000" "MA" 9.3 39.13333333 0.237649063 "M" "A"
"0010000" "FJ" 11.3 39.38333333 0.286923402 "F" "J"
"0010000" "FA" 9 37.7 0.23872679 "F" "A"
"0011110" "MA" 9 38.95333333 0.231045696 "M" "A"
"0011110" "MA" 8.3 39.35 0.210927573 "M" "A"
"0011100" "FA" 9 38.83333333 0.231759657 "F" "A"
"0010000" "FA" 8.6 39.16666667 0.219574468 "F" "A"
"0011110" "FA" 9.2 38.77666667 0.237256082 "F" "A"
"0011110" "MA" 7.8 38.72 0.201446281 "M" "A"
"0011000" "MA" 7.2 36.80333333 0.195634453 "M" "A"
"0010000" "FA" 10.5 38.24333333 0.274557657 "F" "A"
